,gender,age_category,credit_score,area,traffic_index,vehicle_age,vehicle_body,vehicle_value,claim_risk_cat,credit_score_cat
133,1,6.0,821.0,1,120.1,1,3,1.5389,0,1
134,1,5.0,655.0,3,144.5,1,10,3.058,0,2
135,0,3.0,592.0,0,113.9,4,10,2.134,1,4
136,0,4.0,656.0,0,95.7,4,9,0.572,1,2
137,0,1.0,506.0,3,132.6,2,3,1.353,0,0
138,1,1.0,662.0,3,85.1,3,9,1.287,0,2
139,1,3.0,645.0,3,114.2,4,10,1.177,0,4
140,0,4.0,818.0,0,86.1,3,3,0.814,1,1
141,1,6.0,371.0,2,106.5,2,10,3.718,1,0
142,0,4.0,678.0,0,102.4,2,10,4.697,1,2
143,1,6.0,730.0,0,101.4,4,12,1.331,1,3
144,0,4.0,758.0,0,90.4,4,3,0.748,1,1
145,0,4.0,783.0,3,62.4,1,4,2.706,1,1
146,0,3.0,346.0,1,149.3,4,9,0.781,1,0
147,1,4.0,765.0,0,43.7,2,11,3.949,1,1
148,0,5.0,712.0,3,98.7,4,3,0.473,1,3
149,0,6.0,805.0,2,123.0,1,9,1.749,1,1
150,0,3.0,668.0,3,99.0,1,9,5.555,1,0
151,0,6.0,752.0,1,103.9,4,9,0.418,1,1
152,1,5.0,745.0,1,151.7,1,3,2.409,0,3
153,1,4.0,612.0,3,72.3,2,10,3.795,1,4
154,1,4.0,701.0,2,112.5,1,12,4.7839,1,3
155,0,3.0,741.0,3,135.7,3,10,1.562,1,3
156,0,3.0,713.0,2,108.0,3,3,1.419,1,3
157,0,2.0,765.0,0,119.2,4,9,0.495,1,1
158,0,3.0,537.0,0,92.6,2,9,1.903,1,0
159,0,5.0,762.0,2,136.5,4,3,0.759,1,1
160,1,3.0,630.0,1,163.4,3,9,0.869,1,4
161,0,4.0,512.0,0,93.4,2,3,2.035,1,0
162,1,3.0,699.0,0,69.7,1,12,4.147,1,2
163,0,3.0,615.0,1,110.5,1,3,1.65,1,4
164,0,2.0,640.0,0,49.7,3,3,0.968,1,4
165,0,1.0,476.0,2,141.0,2,3,1.452,0,0
166,0,4.0,629.0,0,80.1,4,10,1.452,1,4
167,1,4.0,567.0,2,133.5,1,12,4.279,0,4
168,1,4.0,628.0,4,42.0,3,11,3.344,1,4
169,0,2.0,680.0,0,78.8,2,3,1.463,1,2
170,0,4.0,590.0,0,75.8,4,9,0.429,1,4
171,1,3.0,305.0,1,121.6,4,3,0.484,0,0
172,0,4.0,614.0,0,60.4,3,9,1.595,1,4
173,1,2.0,846.0,3,107.6,2,12,2.442,1,1
174,0,4.0,681.0,5,106.0,2,10,4.257,1,2
175,0,3.0,789.0,2,126.0,2,9,2.178,1,1
176,0,6.0,847.0,0,54.3,4,10,1.21,1,1
177,0,3.0,711.0,1,88.0,4,6,1.848,1,3
178,0,4.0,486.0,3,90.7,2,7,2.673,1,0
179,1,6.0,812.0,4,39.0,4,9,0.781,1,1
180,0,4.0,410.0,2,148.5,3,3,1.848,0,0
181,0,5.0,849.0,4,27.0,4,3,0.451,1,1
182,0,2.0,313.0,2,142.5,3,3,0.913,1,0
183,0,2.0,620.0,2,99.0,2,9,1.87,1,0
184,1,3.0,673.0,4,31.5,4,10,1.353,1,2
185,0,5.0,795.0,1,139.8,2,10,4.433,1,1
186,1,5.0,739.0,2,121.5,2,10,5.687,1,3
187,1,3.0,805.0,2,147.0,3,10,2.255,1,1
188,1,3.0,772.0,0,101.6,3,9,1.408,1,1
189,1,2.0,639.0,1,97.3,3,10,2.871,1,4
190,0,3.0,808.0,2,106.5,1,9,2.673,1,1
191,1,3.0,706.0,2,135.0,3,11,1.133,1,3
192,0,3.0,691.0,5,100.0,3,10,2.42,1,2
193,0,3.0,361.0,5,122.0,3,10,3.124,1,0
194,0,5.0,824.0,2,133.5,4,3,0.528,1,1
195,0,2.0,761.0,5,136.0,3,10,3.047,1,1
196,0,4.0,334.0,1,110.7,3,9,1.441,1,0
197,0,4.0,536.0,0,87.5,4,12,0.836,1,0
198,0,6.0,826.0,4,6.0,4,9,0.792,1,1
199,0,5.0,788.0,2,148.5,3,3,1.199,1,1
200,0,3.0,814.0,2,118.5,3,10,3.19,1,1
201,0,2.0,381.0,1,120.7,4,10,2.607,0,0
202,1,4.0,744.0,0,39.8,4,9,0.616,1,3
203,0,1.0,717.0,1,102.3,3,3,1.034,1,3
204,0,5.0,803.0,2,115.5,3,10,2.057,1,1
205,1,3.0,626.0,2,127.5,1,10,6.1963,1,4
206,1,5.0,835.0,2,121.5,2,9,1.584,1,1
207,0,2.0,754.0,0,82.3,2,9,2.442,1,1
208,0,4.0,754.0,1,147.0,4,9,0.429,1,1
209,0,1.0,599.0,2,141.0,3,3,0.836,1,4
210,0,4.0,768.0,1,108.2,3,3,1.518,1,1
211,1,5.0,430.0,0,112.5,2,4,2.145,0,0
212,1,4.0,742.0,2,147.0,3,10,1.232,1,3
213,1,4.0,490.0,2,147.0,4,12,1.089,1,0
214,1,4.0,791.0,1,119.1,4,3,0.924,1,1
215,1,4.0,713.0,0,87.6,4,2,1.573,1,3
216,1,2.0,704.0,2,133.5,4,9,0.374,1,3
217,0,2.0,707.0,0,42.6,1,3,1.85185,1,3
218,1,6.0,640.0,2,120.0,1,10,3.4584,0,4
219,0,2.0,677.0,2,100.5,3,10,3.3,1,2
220,0,5.0,805.0,2,123.0,2,9,1.936,1,1
221,1,4.0,776.0,1,121.1,3,10,3.19,1,1
222,0,6.0,848.0,1,101.4,2,3,1.43,1,1
223,1,4.0,848.0,2,136.5,2,9,2.288,1,1
224,1,3.0,789.0,2,133.5,2,9,2.365,1,1
225,1,5.0,817.0,0,129.6,3,9,0.869,1,1
226,0,3.0,423.0,2,150.0,2,4,2.882,1,0
227,0,5.0,743.0,4,70.5,1,10,3.916,0,3
228,1,5.0,450.0,2,136.5,2,9,1.716,1,0
229,0,2.0,620.0,1,138.0,2,3,2.024,1,0
230,0,4.0,688.0,2,150.0,1,3,1.595,1,0
231,0,3.0,668.0,1,110.1,4,9,0.869,1,0
232,1,3.0,332.0,0,93.3,4,9,0.506,0,0
233,0,4.0,670.0,2,112.5,3,3,0.968,1,2
234,0,1.0,552.0,2,148.5,4,7,0.627,1,4
235,0,2.0,689.0,0,80.2,4,12,1.815,1,2
236,1,5.0,795.0,1,120.1,4,10,0.319,1,1
237,0,4.0,786.0,0,74.3,3,10,1.87,1,1
238,1,2.0,648.0,1,120.6,1,3,1.903,1,4
239,1,3.0,778.0,5,116.0,4,10,0.77,1,1
240,1,4.0,314.0,2,135.0,4,9,0.979,1,0
241,0,4.0,440.0,3,105.4,2,9,1.98,1,0
242,1,4.0,707.0,2,144.0,2,3,1.518,1,3
243,0,1.0,585.0,0,49.5,2,9,1.936,1,4
244,0,3.0,587.0,2,103.5,2,9,2.288,1,4
245,0,5.0,815.0,4,54.0,4,9,0.902,1,1
246,1,2.0,603.0,4,72.0,4,12,1.837,1,4
247,0,1.0,632.0,0,63.2,1,12,4.312,1,4
248,0,3.0,632.0,0,80.1,2,9,3.113,1,4
249,1,3.0,566.0,2,106.5,1,9,1.694,1,4
250,1,2.0,669.0,0,83.1,3,3,0.979,1,2
251,1,5.0,796.0,0,19.4,3,10,1.243,1,1
252,0,5.0,839.0,1,114.8,4,3,0.341,1,1
253,0,4.0,741.0,0,80.1,2,3,1.65,1,3
254,0,3.0,694.0,1,120.1,3,9,1.177,1,2
255,1,1.0,622.0,3,92.5,2,10,4.521,0,4
256,1,4.0,323.0,0,94.6,2,9,1.815,0,0
257,0,4.0,837.0,0,81.8,1,10,3.047,1,1
258,0,4.0,812.0,5,156.0,4,10,2.101,1,1
259,0,4.0,432.0,1,138.9,4,9,0.627,1,0
260,0,6.0,462.0,1,76.3,1,3,2.189,1,0
261,0,5.0,738.0,2,133.5,1,3,1.463,1,3
262,1,5.0,688.0,3,118.0,1,9,2.717,0,2
263,1,5.0,695.0,4,43.5,1,3,2.629,1,2
264,0,2.0,731.0,3,144.4,1,3,1.5389,1,3
265,0,1.0,607.0,1,108.5,1,3,1.551,1,0
266,1,5.0,741.0,0,55.3,1,10,5.3889,1,3
267,1,6.0,847.0,1,84.4,2,3,1.287,1,1
268,1,6.0,616.0,0,127.0,1,9,2.233,0,4
269,0,3.0,628.0,4,43.5,4,9,0.913,1,4
270,0,4.0,714.0,0,78.5,1,3,1.94073,1,3
271,0,2.0,608.0,1,109.3,3,9,1.441,1,4
272,1,2.0,838.0,5,82.0,4,4,1.65,1,1
273,0,4.0,604.0,2,129.0,3,9,1.155,1,4
274,0,5.0,819.0,2,136.5,1,9,2.343,1,1
275,0,4.0,796.0,3,133.8,4,9,0.484,1,1
276,0,3.0,668.0,2,145.5,3,9,1.298,1,0
277,0,3.0,753.0,4,52.5,1,9,2.09,1,1
278,0,4.0,837.0,2,147.0,4,3,0.418,1,1
279,0,4.0,825.0,1,111.4,2,9,1.903,1,1
280,1,6.0,806.0,0,94.4,3,9,1.21,1,1
281,1,4.0,377.0,4,33.0,1,3,1.65,1,0
282,0,4.0,688.0,2,150.0,3,9,1.771,1,0
283,0,3.0,837.0,2,138.0,4,10,2.365,1,1
284,1,2.0,657.0,0,67.0,1,10,5.412,1,2
285,1,6.0,849.0,1,115.9,3,9,1.199,1,1
286,0,4.0,758.0,2,136.5,3,9,1.441,1,1
287,1,4.0,411.0,4,13.5,2,3,1.364,1,0
288,0,4.0,812.0,1,120.1,2,10,4.213,1,1
289,0,1.0,650.0,0,75.2,2,9,13.024,1,2
290,1,5.0,768.0,0,65.3,3,9,1.232,1,1
291,0,4.0,381.0,3,133.6,2,3,1.331,1,0
292,1,3.0,688.0,2,118.5,3,9,1.617,1,2
293,0,5.0,721.0,4,37.5,4,9,0.847,1,3
294,0,5.0,840.0,2,130.5,2,3,2.112,1,1
295,1,6.0,422.0,2,139.5,2,3,1.727,1,0
296,0,6.0,800.0,5,130.0,4,10,1.188,1,1
297,0,5.0,717.0,2,142.5,3,9,1.617,1,3
298,1,5.0,807.0,0,75.7,2,3,1.529,1,1
299,1,4.0,608.0,2,150.0,4,6,1.386,1,4
300,1,3.0,736.0,3,47.3,4,10,1.408,1,3
301,0,5.0,831.0,3,72.1,4,11,2.409,1,1
302,0,3.0,621.0,2,150.0,3,10,1.881,1,4
303,0,6.0,804.0,1,105.5,2,9,1.925,1,1
304,0,3.0,683.0,0,124.7,2,3,1.485,1,2
305,1,4.0,658.0,2,147.0,4,10,2.167,0,2
306,0,5.0,831.0,0,53.2,3,9,1.518,1,1
307,0,4.0,517.0,2,114.0,4,9,1.507,1,0
308,0,6.0,322.0,0,140.3,2,3,1.617,1,0
309,0,3.0,619.0,5,96.0,4,10,1.078,1,4
310,1,3.0,798.0,1,116.2,4,9,2.112,1,1
311,0,4.0,835.0,3,129.5,3,3,1.529,1,1
312,0,5.0,729.0,1,120.1,2,3,1.408,1,3
313,1,4.0,644.0,1,171.9,2,9,2.255,1,4
314,0,1.0,559.0,2,150.0,2,3,1.43,0,4
315,0,5.0,850.0,0,84.5,2,9,2.893,1,1
316,1,3.0,663.0,3,47.7,4,3,0.451,1,2
317,0,3.0,492.0,0,80.1,4,6,0.847,1,0
318,1,4.0,841.0,2,121.5,4,4,0.99,1,1
319,0,2.0,803.0,2,109.5,4,9,0.517,1,1
320,1,4.0,371.0,2,108.0,3,9,1.298,0,0
321,1,5.0,845.0,0,102.3,4,9,0.726,1,1
322,1,4.0,802.0,1,111.0,2,3,1.474,1,1
323,0,4.0,789.0,2,133.5,3,9,1.276,1,1
324,0,1.0,625.0,0,65.8,4,9,0.803,1,4
325,1,3.0,668.0,3,32.5,2,10,3.388,1,2
326,0,4.0,707.0,1,112.2,2,9,1.507,1,3
327,0,3.0,383.0,3,161.8,2,3,1.111,0,0
328,0,4.0,820.0,1,78.6,1,9,2.4189,1,1
329,0,4.0,587.0,4,28.5,3,9,1.441,1,4
330,0,4.0,644.0,3,67.1,4,10,0.836,1,4
331,0,4.0,634.0,0,105.0,3,9,0.891,1,4
332,0,1.0,617.0,2,147.0,1,3,1.6489,1,4
333,0,4.0,829.0,0,84.1,2,10,4.598,1,1
334,1,2.0,737.0,0,75.6,3,10,1.243,1,3
335,1,6.0,724.0,0,71.4,4,9,0.451,1,3
336,1,1.0,701.0,3,147.5,4,10,2.013,0,3
337,0,4.0,709.0,2,114.0,4,3,0.506,1,3
338,1,4.0,635.0,5,178.0,4,12,1.254,1,4
339,1,4.0,688.0,1,126.5,4,12,1.188,0,0
340,0,4.0,801.0,1,120.1,3,3,0.858,1,1
341,1,5.0,736.0,2,109.5,4,9,0.473,1,3
342,0,5.0,636.0,3,77.7,4,10,1.661,1,4
343,1,3.0,741.0,1,156.1,1,10,5.126,1,3
344,1,2.0,710.0,3,102.9,2,12,3.619,1,3
345,1,5.0,714.0,2,142.5,2,3,1.496,1,3
346,1,4.0,673.0,2,130.5,2,9,2.057,1,2
347,0,4.0,616.0,1,121.6,1,9,2.3089,0,4
348,0,3.0,616.0,5,124.0,3,9,1.573,1,4
349,1,4.0,717.0,1,107.8,4,7,1.122,1,3
350,0,2.0,392.0,2,102.0,4,3,0.594,0,0
351,0,3.0,606.0,4,21.0,2,10,3.113,1,4
352,1,4.0,803.0,4,33.0,1,9,2.585,1,1
353,0,2.0,616.0,0,94.6,3,9,1.496,0,4
354,0,1.0,607.0,1,133.0,1,1,14.476,1,0
355,0,3.0,588.0,3,138.3,3,3,0.869,0,4
356,1,2.0,529.0,1,158.1,3,10,2.651,0,0
357,1,3.0,658.0,0,75.5,2,3,1.573,1,2
358,0,2.0,827.0,5,90.0,1,10,5.302,1,1
359,1,4.0,794.0,2,108.0,3,10,1.892,1,1
360,0,4.0,760.0,2,148.5,3,12,1.298,1,1
361,1,1.0,663.0,1,120.1,3,12,1.32,0,2
362,1,4.0,686.0,0,84.6,3,9,1.485,1,2
363,1,3.0,668.0,3,70.9,4,12,1.221,1,0
364,0,3.0,793.0,0,51.3,4,9,0.803,1,1
365,1,3.0,525.0,2,126.0,4,10,1.122,1,0
366,0,3.0,654.0,2,148.5,2,3,2.288,1,2
367,1,3.0,702.0,2,129.0,4,9,0.792,1,3
368,1,3.0,317.0,0,60.5,1,10,3.267,0,0
369,0,2.0,817.0,1,119.8,1,12,4.7839,1,1
370,0,5.0,830.0,2,148.5,2,10,3.047,1,1
371,1,3.0,763.0,4,19.5,4,4,1.749,1,1
372,0,2.0,657.0,1,117.8,1,3,1.507,1,2
373,1,4.0,653.0,1,117.1,3,10,1.694,0,2
374,1,3.0,326.0,2,133.5,3,10,3.3,0,0
375,1,2.0,385.0,0,65.2,2,3,2.035,1,0
376,0,4.0,802.0,1,132.4,1,9,1.892,1,1
377,0,1.0,379.0,3,89.3,2,10,3.476,1,0
378,1,4.0,604.0,0,48.4,1,11,1.837,1,4
379,0,4.0,715.0,0,65.9,3,3,0.935,1,3
380,1,6.0,766.0,1,104.2,4,10,0.44,0,1
381,0,3.0,753.0,5,112.0,4,12,1.221,1,1
382,1,6.0,699.0,1,145.1,3,9,1.298,1,2
383,1,4.0,690.0,2,150.0,4,9,0.726,1,2
384,0,3.0,805.0,1,116.6,4,10,2.101,1,1
385,1,6.0,730.0,3,144.9,2,10,2.002,1,3
386,1,4.0,538.0,3,53.4,4,4,1.199,1,0
387,1,3.0,794.0,2,142.5,1,10,6.864,1,1
388,0,2.0,762.0,3,67.9,1,9,3.025,1,1
389,0,1.0,609.0,2,145.5,1,3,2.321,1,4
390,1,4.0,608.0,2,120.0,3,9,1.474,1,4
391,0,4.0,834.0,1,120.1,2,10,2.618,1,1
392,0,3.0,403.0,5,114.0,2,10,4.741,0,0
393,0,6.0,705.0,2,145.5,2,3,1.078,1,3
394,0,5.0,821.0,1,124.3,3,10,1.1,1,1
395,1,5.0,727.0,0,86.2,2,12,2.101,1,3
396,0,1.0,607.0,1,115.0,3,9,1.287,1,0
397,1,5.0,740.0,2,78.0,2,3,1.474,1,3
398,0,4.0,623.0,1,83.7,4,3,0.781,1,4
399,1,6.0,643.0,2,121.5,1,3,2.2,1,4
400,0,4.0,801.0,0,80.1,3,6,3.146,1,1
401,1,1.0,389.0,1,122.7,2,10,4.697,0,0
402,0,3.0,601.0,1,148.0,2,3,1.727,1,4
403,0,4.0,837.0,3,126.4,3,10,3.069,1,1
404,1,5.0,774.0,2,118.5,1,4,4.983,1,1
405,1,6.0,750.0,1,123.3,3,9,1.551,1,1
406,0,3.0,669.0,4,42.0,3,4,1.672,1,2
407,0,2.0,630.0,0,122.3,2,9,1.551,1,4
408,0,2.0,538.0,1,108.9,1,9,2.3089,1,0
409,0,2.0,781.0,0,80.1,2,3,1.705,1,1
410,0,5.0,492.0,3,97.0,1,9,2.497,0,0
411,1,4.0,643.0,2,109.5,3,10,1.991,1,4
412,0,3.0,386.0,2,133.5,3,10,2.629,0,0
413,1,6.0,605.0,0,67.5,4,9,0.759,1,4
414,0,2.0,675.0,2,142.5,1,9,2.937,1,2
415,1,4.0,688.0,2,141.0,4,10,2.112,1,0
416,0,6.0,788.0,1,83.1,4,9,0.803,1,1
417,1,2.0,694.0,5,118.0,4,10,1.54,1,2
418,1,4.0,516.0,3,70.3,3,12,2.53,0,0
419,0,3.0,691.0,4,69.0,3,10,1.199,1,2
420,0,2.0,459.0,4,34.5,4,11,2.409,1,0
421,1,4.0,757.0,1,98.1,4,9,0.781,0,1
422,1,4.0,604.0,0,80.1,4,9,1.045,1,4
423,1,1.0,662.0,2,118.5,2,3,1.386,0,2
424,1,2.0,650.0,1,114.8,4,12,1.661,1,2
425,1,5.0,821.0,4,67.5,3,3,0.781,1,1
426,0,5.0,737.0,3,62.4,4,3,0.605,1,3
427,1,5.0,730.0,1,134.8,3,9,1.265,1,3
428,1,4.0,568.0,3,92.0,2,10,4.026,1,4
429,1,5.0,766.0,1,109.0,4,10,0.55,1,1
430,1,3.0,727.0,2,121.5,1,10,3.102,1,3
431,1,3.0,706.0,2,121.5,3,10,1.419,1,3
432,0,2.0,710.0,2,102.0,2,9,1.925,1,3
433,0,1.0,607.0,1,115.6,1,3,1.705,1,0
434,1,4.0,604.0,0,69.5,1,12,3.344,0,4
435,1,2.0,620.0,1,115.4,2,9,1.815,0,0
436,1,5.0,800.0,0,77.0,1,10,5.016,1,1
437,1,2.0,683.0,2,124.5,3,3,1.199,1,2
438,0,1.0,607.0,0,107.8,2,3,1.606,1,0
439,1,4.0,326.0,1,120.8,1,9,2.673,0,0
440,0,1.0,534.0,4,31.5,1,9,2.277,1,0
441,1,4.0,763.0,0,48.0,1,9,2.8699,1,1
442,0,6.0,411.0,0,93.3,4,3,0.561,0,0
443,0,1.0,380.0,0,96.2,2,3,1.43,0,0
444,1,4.0,603.0,1,137.5,3,0,2.409,1,4
445,0,2.0,782.0,0,67.1,1,3,1.518,1,1
446,0,4.0,834.0,0,85.9,1,3,1.716,1,1
447,1,6.0,737.0,2,79.5,3,9,1.837,1,3
448,1,2.0,588.0,0,60.0,2,10,2.838,1,4
449,1,2.0,396.0,0,109.7,1,9,2.266,0,0
450,0,1.0,358.0,1,119.3,1,9,2.321,0,0
451,0,3.0,797.0,3,166.4,2,9,1.914,1,1
452,0,4.0,689.0,2,135.0,3,9,1.177,1,2
453,1,3.0,753.0,1,139.1,3,10,3.454,1,1
454,0,2.0,676.0,2,126.0,3,9,1.122,1,2
455,1,2.0,610.0,0,93.7,4,4,1.155,1,4
456,1,3.0,697.0,1,121.5,4,9,0.759,1,2
457,0,2.0,723.0,4,24.0,4,3,1.1,1,3
458,1,6.0,681.0,2,124.5,3,10,2.959,1,2
459,0,4.0,695.0,0,76.5,2,9,1.903,1,2
460,0,2.0,639.0,4,49.5,3,10,2.211,1,4
461,1,5.0,754.0,4,25.5,3,11,1.463,1,1
